Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,WHIP,WP,cSho,tSho,playoffs
Arizona Diamondbacks,54.0,53.0,34.0,274.0,44.0,1399.0,5436.0,0.25,3.3,540.0,525.0,6100.0,8.0,27.4,1071.0,1.0,26.0,5761.0,134.0,0.695,56.0,714.0,4.48,97.0,4.35,0.99,162.0,121.0,161.0,1458.0,162.0,162.0,162.0,8.6,58.0,48.0,1.2,166.0,197.0,1359.0,1375.0,11.0,13.0,1435.1,12918.0,1091.0,1050.0,0.322,0.73,99.0,6124.0,28.5,4306.0,4.6,4.7,706.0,746.0,761.0,46.0,0.0,9.0,43.0,4.0,166.0,50.0,36.0,0.408,2.57,8.5,1247.0,1351.0,44.0,2219.0,1.324,40.0,1.0,9.0,1
Atlanta Braves,53.0,51.0,33.0,293.0,23.0,1339.0,5597.0,0.276,3.3,538.0,534.0,6135.0,8.0,27.9,1210.0,1.0,27.0,5741.0,133.0,0.685,82.0,662.0,4.14,107.0,4.1,0.986,162.0,128.0,161.0,1458.0,162.0,162.0,162.0,8.4,67.0,70.0,1.2,307.0,187.0,1543.0,1341.0,20.0,14.0,1440.0,12960.0,1062.0,1112.0,0.344,0.845,125.0,6249.0,29.9,4320.0,5.85,4.42,916.0,947.0,716.0,16.0,0.0,2.0,21.0,2.0,132.0,43.0,2.0,0.501,2.84,9.5,1289.0,1516.0,52.0,2803.0,1.302,56.0,1.0,15.0,1
Baltimore Orioles,50.0,50.0,31.0,309.0,28.0,1444.0,5495.0,0.255,2.9,512.0,473.0,6098.0,7.0,27.2,991.0,0.0,24.0,5876.0,140.0,0.696,71.0,629.0,3.89,105.0,3.98,0.988,162.0,114.0,162.0,1458.0,162.0,162.0,162.0,8.3,45.0,63.0,1.1,183.0,177.0,1399.0,1334.0,14.0,16.0,1453.2,13083.0,1041.0,1080.0,0.321,0.742,107.0,6123.0,28.4,4361.0,4.98,4.19,780.0,807.0,678.0,34.0,0.0,-3.0,37.0,3.0,114.0,47.0,21.0,0.421,3.03,8.9,1370.0,1431.0,49.0,2313.0,1.243,64.0,0.0,12.0,1
Boston Red Sox,56.0,56.0,33.0,339.0,19.0,1429.0,5562.0,0.258,3.1,486.0,497.0,6168.0,4.0,28.6,1059.0,0.0,26.0,5821.0,137.0,0.677,102.0,718.0,4.52,100.0,4.37,0.982,162.0,118.0,162.0,1458.0,162.0,162.0,162.0,8.9,71.0,83.0,1.3,182.0,208.0,1437.0,1416.0,15.0,21.0,1430.0,12870.0,1117.0,1117.0,0.324,0.748,101.0,6174.0,30.0,4290.0,4.77,4.79,734.0,772.0,776.0,-20.0,-2.0,-2.0,-17.0,-2.0,112.0,35.0,11.0,0.424,2.86,9.0,1372.0,1423.0,43.0,2360.0,1.338,49.0,0.0,5.0,0
Chicago Cubs,48.0,48.0,27.0,269.0,30.0,1490.0,5504.0,0.254,3.2,570.0,513.0,6085.0,6.0,28.4,1130.0,1.0,34.0,5888.0,137.0,0.694,92.0,651.0,4.08,109.0,4.16,0.984,162.0,95.0,161.0,1458.0,162.0,162.0,162.0,8.3,77.0,64.0,1.1,196.0,179.0,1399.0,1328.0,11.0,5.0,1435.1,12918.0,1127.0,1073.0,0.33,0.751,102.0,6220.0,29.6,4306.0,5.06,4.46,786.0,819.0,723.0,36.0,0.0,1.0,9.0,1.0,140.0,52.0,15.0,0.421,2.68,8.6,1391.0,1377.0,35.0,2316.0,1.283,57.0,1.0,13.0,0
Chicago White Sox,56.0,56.0,32.0,264.0,13.0,1249.0,5501.0,0.238,4.1,377.0,654.0,6301.0,9.0,27.8,1088.0,2.0,22.0,5639.0,117.0,0.685,95.0,774.0,4.87,91.0,4.71,0.983,162.0,122.0,160.0,1458.0,162.0,162.0,162.0,8.6,52.0,91.0,1.3,171.0,214.0,1308.0,1372.0,19.0,14.0,1431.2,12885.0,1009.0,1189.0,0.291,0.675,84.0,5980.0,29.2,4295.0,3.96,5.19,617.0,641.0,841.0,-59.0,-4.0,-11.0,-50.0,-5.0,86.0,29.0,16.0,0.384,2.25,9.2,1424.0,1470.0,28.0,2111.0,1.415,65.0,0.0,7.0,0
Cincinnati Reds,65.0,65.0,40.0,268.0,37.0,1283.0,5499.0,0.249,3.8,556.0,613.0,6310.0,7.0,26.8,989.0,0.0,48.0,5692.0,125.0,0.685,91.0,772.0,4.83,94.0,4.79,0.984,162.0,101.0,162.0,1458.0,162.0,162.0,162.0,8.9,92.0,81.0,1.4,198.0,222.0,1371.0,1426.0,8.0,13.0,1439.1,12954.0,1107.0,1189.0,0.327,0.746,100.0,6195.0,27.7,4318.0,4.83,5.07,747.0,783.0,821.0,-38.0,-1.0,1.0,-13.0,-1.0,190.0,29.0,19.0,0.42,2.25,8.6,1500.0,1381.0,53.0,2307.0,1.417,48.0,0.0,6.0,0
Cleveland Guardians,50.0,50.0,29.0,294.0,29.0,1418.0,5513.0,0.25,3.3,471.0,534.0,6144.0,10.0,26.6,1127.0,1.0,36.0,5833.0,119.0,0.698,83.0,635.0,3.96,106.0,4.21,0.986,162.0,108.0,161.0,1458.0,162.0,162.0,162.0,8.4,55.0,51.0,1.1,124.0,173.0,1379.0,1352.0,40.0,9.0,1444.0,12996.0,1121.0,1143.0,0.313,0.695,93.0,6096.0,26.1,4332.0,4.09,4.3,622.0,662.0,697.0,24.0,0.0,3.0,-5.0,0.0,151.0,44.0,13.0,0.381,2.46,8.2,1142.0,1311.0,47.0,2103.0,1.306,61.0,0.0,13.0,0
Colorado Rockies,57.0,57.0,34.0,305.0,31.0,1516.0,5496.0,0.249,3.7,447.0,586.0,6316.0,7.0,28.1,1146.0,0.0,25.0,5839.0,169.0,0.67,81.0,891.0,5.67,88.0,5.24,0.986,162.0,124.0,162.0,1458.0,162.0,162.0,162.0,10.2,59.0,86.0,1.5,163.0,234.0,1368.0,1599.0,8.0,13.0,1414.0,12726.0,1038.0,1129.0,0.31,0.715,85.0,6055.0,29.7,4242.0,4.45,5.91,685.0,721.0,957.0,20.0,0.0,-1.0,5.0,0.0,76.0,41.0,11.0,0.405,1.93,7.2,1543.0,1129.0,32.0,2224.0,1.545,51.0,0.0,6.0,0
Detroit Tigers,51.0,50.0,32.0,245.0,29.0,1403.0,5478.0,0.236,3.0,508.0,476.0,6073.0,5.0,27.4,991.0,0.0,23.0,5830.0,129.0,0.699,100.0,680.0,4.24,105.0,4.13,0.983,162.0,107.0,162.0,1458.0,162.0,162.0,162.0,8.2,49.0,50.0,1.2,165.0,187.0,1292.0,1320.0,10.0,8.0,1442.1,12981.0,1103.0,1027.0,0.305,0.686,87.0,6080.0,27.7,4327.0,4.08,4.57,635.0,661.0,740.0,22.0,0.0,1.0,32.0,3.0,85.0,31.0,13.0,0.382,2.89,8.6,1473.0,1374.0,41.0,2090.0,1.245,51.0,0.0,15.0,0
