Table 1
Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,57,4.57,0.704,162,1458,1097,12870.0,5746,4290,1370,86,134,0.985,29,3,55,-1,-3
Atlanta Braves,53,3.76,0.701,162,1458,1195,13032.0,5803,4344,1382,77,110,0.987,18,2,31,2,4
Baltimore Orioles,57,4.25,0.690,162,1458,1121,12900.0,5920,4300,1529,91,151,0.985,6,1,38,2,4
Boston Red Sox,53,4.86,0.683,162,1458,1105,12879.0,5825,4293,1447,85,134,0.985,3,0,-2,-2,-8
Chicago Cubs,64,4.51,0.697,162,1458,1086,12993.0,5880,4331,1453,96,139,0.984,3,0,2,0,-1
Chicago White Sox,44,4.43,0.688,162,1458,1093,13029.0,5738,4343,1293,102,122,0.982,-59,-5,-35,-2,-11
Cincinnati Reds,65,5.03,0.689,162,1458,1095,12810.0,5647,4270,1296,81,115,0.986,-34,-3,-43,-1,0
Cleveland Guardians,50,3.91,0.709,162,1458,1131,13104.0,5908,4368,1443,97,127,0.984,45,4,77,0,-2
Colorado Rockies,43,5.39,0.673,162,1458,1128,12828.0,5968,4276,1592,100,154,0.983,-43,-4,6,0,-7
Detroit Tigers,52,4.40,0.701,162,1458,1157,12777.0,5757,4259,1404,94,137,0.984,9,1,26,0,-1
Houston Astros,44,3.20,0.719,162,1458,1140,13008.0,5698,4336,1290,72,122,0.987,45,4,67,0,3
Kansas City Royals,55,5.00,0.675,162,1458,1109,12744.0,5829,4248,1499,82,153,0.986,-24,-2,-37,-1,1
Los Angeles Angels,66,4.12,0.709,162,1458,1004,12921.0,5773,4307,1382,84,134,0.985,24,2,8,-1,-5
Los Angeles Dodgers,51,3.17,0.729,162,1458,1135,13062.0,5788,4354,1351,83,120,0.986,68,6,84,2,3
Miami Marlins,56,4.17,0.694,162,1458,1077,12936.0,5841,4312,1460,69,143,0.988,13,1,12,1,5
Milwaukee Brewers,51,4.25,0.704,162,1458,1110,13014.0,5848,4338,1419,91,122,0.984,-1,0,51,1,-1
Minnesota Twins,61,4.22,0.702,162,1458,1061,12933.0,5701,4311,1307,83,121,0.985,26,2,23,0,2
New York Mets,59,3.74,0.692,162,1458,1103,12948.0,5742,4316,1359,67,128,0.988,-33,-3,11,0,6
New York Yankees,54,3.50,0.720,162,1458,1092,13065.0,5902,4355,1473,74,102,0.987,69,6,129,1,4
Oakland Athletics,64,4.75,0.697,162,1458,1036,12837.0,5837,4279,1466,92,139,0.984,-43,-4,-29,0,-7
Philadelphia Phillies,56,4.23,0.687,162,1458,1104,12855.0,5770,4285,1416,69,129,0.988,-40,-4,-34,0,0
Pittsburgh Pirates,68,5.04,0.677,162,1458,1060,12789.0,5891,4263,1507,121,152,0.979,-54,-5,-1,0,3
San Diego Padres,55,4.07,0.705,162,1458,1081,12990.0,5768,4330,1362,76,116,0.987,-5,0,6,-2,0
Seattle Mariners,59,3.85,0.710,162,1458,1088,13023.0,5727,4341,1317,69,114,0.988,18,2,38,0,4
San Francisco Giants,65,4.30,0.674,162,1458,870,12897.0,5945,4299,1546,100,130,0.983,-56,-5,-52,-1,5
St. Louis Cardinals,51,3.93,0.702,162,1458,1041,12921.0,6074,4307,1701,66,181,0.989,46,4,70,5,10
Tampa Bay Rays,61,3.79,0.708,162,1458,1067,12921.0,5777,4307,1386,84,110,0.985,6,1,14,0,-6
Texas Rangers,55,4.59,0.693,162,1458,1137,12915.0,5929,4305,1528,96,143,0.984,1,0,3,0,-10
Toronto Blue Jays,51,4.19,0.691,162,1458,1065,12972.0,5754,4324,1348,82,120,0.986,7,1,43,0,4
Washington Nationals,54,5.28,0.687,162,1458,1163,12705.0,5749,4235,1410,104,126,0.982,-43,-4,-47,-1,-7
League Average,50,4.28,0.697,162,1458,1092,12923,5818,4308,1425,86,131,0.985,0,0,17,0,0
,1488,4.28,0.697,4860,43740,32751,387678.0,174535,129226,42736,2573,3928,0.985,0,0,514,0,-10
