Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,41,28.9,4.64,66,2515,2239,306,552,113,10,63,291,37,11,213,530,0.247,0.317,0.39,0.707,104,874,46,29,7,25,4,452
Atlanta Braves,42,28.6,4.43,63,2362,2133,279,521,127,6,65,266,29,9,186,546,0.244,0.31,0.401,0.711,101,855,41,26,0,17,4,423
Baltimore Orioles,40,27.1,5.17,65,2467,2240,336,559,112,16,104,327,47,10,176,530,0.25,0.31,0.453,0.763,121,1015,26,29,3,18,7,415
Boston Red Sox,42,27.3,4.48,66,2524,2262,296,558,113,19,72,285,58,19,205,639,0.247,0.316,0.409,0.725,102,925,37,32,6,17,12,466
Chicago Cubs,41,28.2,4.3,66,2486,2188,284,500,99,12,64,266,46,11,233,581,0.229,0.311,0.372,0.684,94,815,36,39,4,21,10,454
Chicago White Sox,46,28.7,3.09,67,2408,2191,207,477,102,4,56,195,42,10,171,569,0.218,0.28,0.345,0.624,78,755,51,22,11,13,2,418
Cincinnati Reds,36,27.4,4.36,66,2426,2134,288,485,96,11,65,271,96,23,222,595,0.227,0.308,0.374,0.682,94,798,37,37,12,20,2,397
Cleveland Guardians,35,26.2,5.08,64,2398,2120,325,508,106,9,72,300,58,24,205,475,0.24,0.318,0.4,0.718,106,848,46,47,6,20,16,382
Colorado Rockies,39,28.2,4,66,2476,2250,264,551,116,11,53,250,40,12,181,627,0.245,0.306,0.377,0.683,87,848,51,22,8,13,8,445
Detroit Tigers,35,27.3,4.22,65,2425,2184,274,502,100,19,59,262,26,7,190,569,0.23,0.297,0.374,0.671,90,817,39,27,1,19,6,422
Houston Astros,40,29,4.48,67,2544,2304,300,599,101,7,84,289,46,10,194,454,0.26,0.321,0.419,0.741,113,966,53,23,3,19,6,464
Kansas City Royals,36,27.5,4.94,67,2487,2243,331,568,121,16,68,321,64,13,187,472,0.253,0.314,0.412,0.727,104,925,39,23,11,22,12,415
Los Angeles Angels,40,27.4,4.05,65,2405,2179,263,514,92,7,73,245,59,26,182,553,0.236,0.299,0.385,0.684,92,839,41,22,4,16,1,401
Los Angeles Dodgers,43,30.3,4.94,67,2601,2290,331,586,129,11,86,317,43,10,258,557,0.256,0.335,0.434,0.769,118,995,45,25,3,22,12,499
Miami Marlins,45,27.9,3.58,65,2371,2188,233,512,85,8,52,226,35,15,139,503,0.234,0.286,0.351,0.637,79,769,57,25,6,12,7,392
Milwaukee Brewers,42,26.5,4.94,66,2533,2257,326,578,109,12,70,312,88,14,230,585,0.256,0.33,0.408,0.738,108,921,43,27,5,13,5,466
Minnesota Twins,39,29,4.35,66,2453,2188,287,504,121,13,70,269,34,9,195,557,0.23,0.303,0.394,0.697,100,861,48,44,3,22,4,425
New York Mets,44,30.4,4.38,64,2463,2210,280,534,106,6,69,266,46,8,199,513,0.242,0.313,0.389,0.701,106,859,43,34,8,11,5,461
New York Yankees,38,28.6,4.93,68,2579,2265,335,577,95,11,98,320,34,12,259,538,0.255,0.334,0.436,0.77,116,988,62,21,7,24,5,461
Oakland Athletics,47,26.7,3.57,68,2517,2263,243,496,96,9,77,231,34,11,207,663,0.219,0.29,0.372,0.662,94,841,42,24,11,12,8,452
Philadelphia Phillies,34,29.2,5.11,65,2487,2200,332,560,95,13,75,316,72,16,240,530,0.255,0.331,0.412,0.742,112,906,44,20,5,21,11,450
Pittsburgh Pirates,39,28.6,4.14,65,2494,2222,269,514,93,6,60,258,38,6,217,625,0.231,0.302,0.36,0.661,89,799,37,18,12,24,8,481
San Diego Padres,36,28.1,4.51,70,2638,2374,316,623,106,8,70,303,56,15,216,475,0.262,0.328,0.402,0.731,113,955,61,23,9,12,9,473
Seattle Mariners,40,28.7,3.9,68,2485,2215,265,495,86,7,74,257,43,12,215,677,0.223,0.301,0.369,0.67,97,817,43,37,3,13,2,436
San Francisco Giants,43,29.2,4.28,67,2528,2266,287,556,99,8,64,274,21,10,216,533,0.245,0.315,0.381,0.696,104,863,54,22,5,19,7,464
St. Louis Cardinals,36,27.6,3.97,64,2411,2145,254,504,98,6,61,237,31,10,206,540,0.235,0.307,0.372,0.678,94,797,25,25,11,20,5,460
Tampa Bay Rays,40,27.6,3.86,66,2465,2205,255,512,97,8,50,236,63,28,203,597,0.232,0.305,0.351,0.657,91,775,41,34,7,13,6,445
Texas Rangers,43,28,4.38,65,2450,2204,285,533,85,10,66,269,30,6,208,501,0.242,0.312,0.379,0.691,98,836,45,22,1,15,10,443
Toronto Blue Jays,37,29.1,3.91,66,2448,2174,258,504,111,9,55,244,36,5,226,460,0.232,0.309,0.367,0.676,95,798,52,23,7,17,3,449
Washington Nationals,35,27.6,4,65,2394,2132,260,494,96,5,52,243,98,27,196,525,0.232,0.304,0.355,0.659,92,756,40,35,10,19,6,406
League Average,39,28.2,4.33,66,2475,2216,286,533,104,10,68,272,48,13,206,551,0.24,0.311,0.388,0.699,100,861,44,28,6,18,7,441
,1163,28.2,4.33,1978,74240,66465,8569,15976,3105,297,2047,8146,1450,399,6175,16519,0.24,0.311,0.388,0.699,100,25816,1325,837,189,529,203,13217
