Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,25,28.4,4.83,31,35,0.47,4.59,66,66,66,0,3,0,14,584,595,319,298,72,200,12,480,23,3,27,2508,87,4.25,1.361,9.2,1.1,3.1,7.4,2.4,446
Atlanta Braves,25,31.8,3.94,35,28,0.556,3.68,63,63,61,2,9,1,18,560,508,248,229,57,183,8,553,26,2,15,2336,113,3.61,1.234,8.2,0.9,2.9,8.9,3.02,417
Baltimore Orioles,21,29.8,3.57,43,22,0.662,3.15,65,65,65,0,5,0,21,586.1,472,232,205,55,190,2,563,20,2,17,2399,119,3.5,1.129,7.2,0.8,2.9,8.6,2.96,418
Boston Red Sox,21,29.5,4.03,33,33,0.5,3.4,66,66,65,1,8,1,13,590.1,511,266,223,61,169,11,574,29,0,20,2443,123,3.55,1.152,7.8,0.9,2.6,8.8,3.4,417
Chicago Cubs,24,29,4.52,32,34,0.485,3.92,66,66,66,0,4,0,15,582.2,538,298,254,69,214,5,582,25,2,25,2495,106,3.92,1.291,8.3,1.1,3.3,9,2.72,458
Chicago White Sox,23,28.6,5.3,17,50,0.254,4.99,67,67,67,0,3,0,11,582.1,574,355,323,88,264,7,566,24,5,30,2578,82,4.65,1.439,8.9,1.4,4.1,8.7,2.14,482
Cincinnati Reds,18,29.2,4.14,32,34,0.485,3.89,66,66,66,0,3,0,15,583.2,527,273,252,67,202,5,551,43,1,17,2477,108,4.01,1.249,8.1,1,3.1,8.5,2.73,457
Cleveland Guardians,19,27.9,3.67,42,22,0.656,3.42,64,64,64,0,7,0,23,573,489,235,218,66,185,2,571,27,3,24,2362,113,3.76,1.176,7.7,1,2.9,9,3.09,418
Colorado Rockies,21,28.8,5.62,23,43,0.348,5.32,66,66,66,0,1,0,14,582,639,371,344,73,245,7,425,21,0,26,2574,86,4.69,1.519,9.9,1.1,3.8,6.6,1.73,468
Detroit Tigers,18,28.3,4.31,32,33,0.492,3.84,65,65,65,0,5,0,15,578.2,530,280,247,61,177,2,551,22,3,19,2427,106,3.64,1.222,8.2,0.9,2.8,8.6,3.11,421
Houston Astros,25,29.8,4.4,30,37,0.448,4.21,67,67,65,2,4,1,12,594.1,536,295,278,76,253,1,563,34,5,28,2547,93,4.36,1.328,8.1,1.2,3.8,8.5,2.23,478
Kansas City Royals,23,29.2,3.84,39,28,0.582,3.68,67,67,66,1,4,0,18,589,541,257,241,55,204,5,529,29,1,9,2494,113,3.75,1.265,8.3,0.8,3.1,8.1,2.59,475
Los Angeles Angels,22,29.9,4.97,25,40,0.385,4.59,65,65,65,0,3,0,15,578.1,523,323,295,75,246,10,521,31,6,26,2480,91,4.47,1.33,8.1,1.2,3.8,8.1,2.12,431
