Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,New York Yankees,50,23,0.685,L 1,5.1,3.3,1.8,0.0,1.7,50-23,0,9-9,17-2,12-6,12-6,22-10,28-13,1-4,10-8,41-17,9-6,20-12,30-11,6-4,14-6,22-8
2,Philadelphia Phillies,47,23,0.671,L 1,5.0,3.6,1.4,-0.3,1.1,45-25,2,12-6,12-8,12-4,11-5,27-10,20-13,6-6,11-8,29-11,18-12,9-5,38-18,6-4,11-9,19-11
3,Baltimore Orioles,46,24,0.657,W 1,5.1,3.5,1.6,0.0,1.5,46-24,0,17-6,11-2,7-5,11-11,24-14,22-10,3-4,6-10,32-18,14-6,21-9,25-15,7-3,14-6,20-10
4,Cleveland Guardians,44,24,0.647,L 1,4.9,3.6,1.3,-0.3,1.0,43-25,1,7-5,11-6,16-6,10-7,21-8,23-16,6-2,11-8,30-19,14-5,15-8,29-16,5-5,13-7,20-10
5,Los Angeles Dodgers,43,29,0.597,L 1,4.9,3.6,1.4,-0.1,1.3,46-26,-3,14-4,8-9,13-10,8-6,23-15,20-14,5-3,8-7,24-22,19-7,11-8,32-21,5-5,10-10,16-14
6,Milwaukee Brewers,41,29,0.586,W 1,4.8,4.0,0.9,-0.1,0.8,41-29,0,4-5,17-9,1-2,19-13,21-12,20-17,3-3,12-11,32-21,9-8,10-13,31-16,5-5,12-8,17-13
7,Seattle Mariners,42,31,0.575,W 2,3.9,3.7,0.2,0.1,0.3,38-35,4,6-8,8-9,16-5,12-9,26-12,16-19,5-2,17-7,28-23,14-8,13-17,29-14,7-3,15-5,19-11
8,Kansas City Royals,41,31,0.569,W 1,4.9,4.0,0.9,0.0,0.9,43-29,-2,10-10,13-9,13-6,5-6,25-14,16-17,2-2,11-11,33-26,8-5,13-20,28-11,5-5,8-12,16-14
9,Atlanta Braves,38,30,0.559,W 3,4.5,3.9,0.6,-0.1,0.5,38-30,0,12-11,5-4,4-6,17-9,21-12,17-18,4-3,6-10,24-20,14-10,10-13,28-17,4-6,9-11,13-17
10,Minnesota Twins,38,32,0.543,W 3,4.6,4.4,0.2,0.1,0.3,36-34,2,4-11,15-11,12-3,7-7,20-14,18-18,3-0,12-5,27-24,11-8,12-21,26-11,5-5,11-9,14-16
