Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,WHIP,WP,cSho,tSho,playoffs
Arizona Diamondbacks,64.0,64.0,41.0,308.0,31.0,1374.0,5489.0,0.236,3.5,537.0,555.0,6270.0,7.0,28.9,1030.0,3.0,16.0,5726.0,113.0,0.685,100.0,804.0,5.11,83.0,4.88,0.983,162.0,99.0,159.0,1458.0,162.0,162.0,162.0,9.4,54.0,75.0,1.5,144.0,232.0,1297.0,1480.0,24.0,45.0,1417.1,12756.0,1152.0,1146.0,0.309,0.692,87.0,6144.0,28.5,4252.0,4.19,5.51,644.0,679.0,893.0,-37.0,0.0,-1.0,-20.0,-2.0,43.0,28.0,32.0,0.382,2.23,7.9,1465.0,1238.0,22.0,2099.0,1.436,43.0,3.0,4.0,0
Atlanta Braves,56.0,55.0,30.0,269.0,20.0,1483.0,5363.0,0.244,3.3,549.0,516.0,5944.0,8.0,28.2,1126.0,2.0,19.0,5786.0,104.0,0.708,71.0,608.0,3.88,112.0,4.09,0.988,161.0,81.0,159.0,1449.0,161.0,161.0,161.0,7.9,67.0,66.0,1.2,239.0,183.0,1307.0,1237.0,36.0,34.0,1410.2,12696.0,1072.0,1074.0,0.319,0.754,98.0,6056.0,29.5,4232.0,4.91,4.07,762.0,790.0,656.0,50.0,1.0,5.0,60.0,6.0,59.0,43.0,32.0,0.435,2.75,9.0,1453.0,1417.0,40.0,2333.0,1.243,73.0,2.0,18.0,0
Baltimore Orioles,62.0,62.0,42.0,266.0,15.0,1359.0,5420.0,0.239,3.6,451.0,563.0,6252.0,7.0,26.7,1093.0,1.0,23.0,5639.0,101.0,0.683,74.0,910.0,5.84,77.0,5.15,0.987,162.0,105.0,161.0,1458.0,162.0,162.0,162.0,9.7,65.0,68.0,1.7,195.0,258.0,1296.0,1518.0,12.0,12.0,1402.0,12618.0,1046.0,1103.0,0.304,0.705,92.0,5983.0,28.1,4206.0,4.07,5.9,632.0,659.0,956.0,-30.0,-1.0,-12.0,-47.0,-4.0,54.0,31.0,14.0,0.402,2.19,7.9,1454.0,1234.0,26.0,2177.0,1.484,88.0,1.0,5.0,0
Boston Red Sox,56.0,56.0,37.0,330.0,23.0,1421.0,5495.0,0.261,3.5,512.0,546.0,6147.0,6.0,28.0,1104.0,0.0,21.0,5786.0,143.0,0.659,108.0,671.0,4.26,110.0,3.95,0.981,162.0,100.0,162.0,1458.0,162.0,162.0,162.0,8.9,61.0,79.0,1.1,219.0,176.0,1434.0,1409.0,22.0,31.0,1419.0,12771.0,1093.0,1163.0,0.328,0.777,106.0,6122.0,29.7,4257.0,5.12,4.62,783.0,829.0,749.0,4.0,-1.0,-1.0,-65.0,-6.0,40.0,42.0,10.0,0.449,2.8,9.7,1386.0,1527.0,49.0,2467.0,1.378,63.0,0.0,7.0,1
Chicago Cubs,69.0,68.0,40.0,225.0,26.0,1554.0,5306.0,0.237,3.8,502.0,596.0,6202.0,4.0,29.1,1039.0,1.0,37.0,5879.0,149.0,0.691,87.0,765.0,4.87,87.0,4.88,0.985,162.0,133.0,161.0,1458.0,162.0,162.0,162.0,8.8,92.0,98.0,1.5,210.0,235.0,1255.0,1386.0,17.0,25.0,1412.2,12714.0,1019.0,1143.0,0.312,0.719,93.0,5972.0,29.4,4238.0,4.35,5.18,672.0,705.0,839.0,29.0,0.0,5.0,-21.0,-2.0,86.0,30.0,40.0,0.407,2.28,8.7,1596.0,1358.0,40.0,2162.0,1.403,60.0,0.0,8.0,0
Chicago White Sox,47.0,47.0,27.0,275.0,22.0,1210.0,5357.0,0.256,3.1,586.0,485.0,5861.0,6.0,28.0,1117.0,4.0,20.0,5517.0,112.0,0.694,97.0,581.0,3.73,118.0,3.74,0.982,162.0,139.0,158.0,1458.0,162.0,162.0,162.0,7.7,78.0,51.0,1.2,190.0,182.0,1373.0,1205.0,10.0,16.0,1403.1,12630.0,1125.0,1029.0,0.336,0.758,106.0,6084.0,28.3,4210.0,4.91,3.93,757.0,796.0,636.0,-40.0,-5.0,-14.0,-42.0,-4.0,57.0,39.0,24.0,0.422,3.27,10.2,1389.0,1588.0,43.0,2262.0,1.204,84.0,3.0,13.0,1
Cincinnati Reds,55.0,55.0,36.0,295.0,13.0,1422.0,5423.0,0.249,3.9,553.0,617.0,6199.0,8.0,28.9,1052.0,1.0,24.0,5816.0,125.0,0.688,91.0,702.0,4.4,107.0,4.34,0.984,162.0,129.0,161.0,1458.0,162.0,162.0,162.0,8.3,105.0,64.0,1.3,222.0,206.0,1352.0,1330.0,22.0,30.0,1434.1,12909.0,1110.0,1161.0,0.328,0.759,95.0,6162.0,28.9,4303.0,4.85,4.69,756.0,786.0,760.0,-32.0,0.0,7.0,-33.0,-3.0,36.0,45.0,35.0,0.431,2.47,9.6,1425.0,1524.0,41.0,2339.0,1.357,62.0,1.0,8.0,0
Cleveland Indians,48.0,48.0,25.0,248.0,22.0,1400.0,5332.0,0.238,3.3,453.0,522.0,5968.0,8.0,26.7,1149.0,0.0,17.0,5710.0,138.0,0.703,86.0,679.0,4.34,99.0,4.43,0.985,162.0,105.0,162.0,1458.0,162.0,162.0,162.0,8.2,64.0,59.0,1.4,203.0,216.0,1269.0,1281.0,18.0,12.0,1408.0,12672.0,987.0,1035.0,0.303,0.71,94.0,5907.0,26.3,4224.0,4.43,4.49,686.0,717.0,727.0,2.0,0.0,-1.0,27.0,3.0,109.0,36.0,20.0,0.407,2.66,8.9,1387.0,1391.0,39.0,2170.0,1.281,52.0,0.0,9.0,0
Colorado Rockies,45.0,45.0,26.0,275.0,34.0,1516.0,5374.0,0.249,3.5,491.0,539.0,6044.0,3.0,28.1,1094.0,3.0,23.0,5780.0,140.0,0.686,73.0,748.0,4.82,100.0,4.47,0.987,161.0,98.0,158.0,1449.0,161.0,161.0,161.0,9.0,58.0,63.0,1.3,182.0,196.0,1338.0,1397.0,24.0,19.0,1397.0,12573.0,1074.0,1081.0,0.317,0.731,86.0,6007.0,28.3,4191.0,4.59,4.94,709.0,739.0,796.0,61.0,4.0,1.0,22.0,2.0,76.0,36.0,48.0,0.414,2.35,8.2,1356.0,1269.0,33.0,2227.0,1.386,67.0,1.0,6.0,0
Detroit Tigers,49.0,49.0,29.0,236.0,37.0,1492.0,5376.0,0.242,3.6,490.0,571.0,6164.0,3.0,28.1,1145.0,2.0,25.0,5834.0,136.0,0.698,83.0,681.0,4.32,99.0,4.6,0.986,162.0,113.0,160.0,1458.0,162.0,162.0,162.0,8.7,44.0,82.0,1.3,179.0,199.0,1299.0,1370.0,8.0,10.0,1419.2,12777.0,1031.0,1174.0,0.308,0.707,96.0,5979.0,27.3,4259.0,4.3,4.67,675.0,697.0,756.0,-35.0,-1.0,-10.0,-22.0,-2.0,88.0,50.0,17.0,0.399,2.2,8.0,1514.0,1259.0,42.0,2146.0,1.367,80.0,1.0,7.0,0
