,Tm,#Bat,BatAge,R/G,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,LOB_x,#Fld,RA/G_x,DefEff,G_y,GS_x,CG_x,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,#P,PAge,RA/G_y,W,L,W-L%,ERA,G,GS_y,GF,CG_y,tSho,cSho,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_y
0,Arizona Diamondbacks,41,28.9,4.64,66,2515,2239,306,552,113,10,63,291,37,11,213,530,0.247,0.317,0.39,0.707,104,874,46,29,7,25,4,452,40,4.83,0.687,66,594,464,5256,2384,1752,602,30,62,0.987,5,1,2,2,1,25,28.4,4.83,31,35,0.47,4.59,66,66,66,0,3,0,14,584.0,595,319,298,72,200,12,480,23,3,27,2508,87,4.25,1.361,9.2,1.1,3.1,7.4,2.4,446
1,Atlanta Braves,42,28.6,4.43,63,2362,2133,279,521,127,6,65,266,29,9,186,546,0.244,0.31,0.401,0.711,101,855,41,26,0,17,4,423,41,3.94,0.692,63,567,475,5040,2293,1680,585,28,52,0.988,-1,0,22,4,4,25,31.8,3.94,35,28,0.556,3.68,63,63,61,2,9,1,18,560.0,508,248,229,57,183,8,553,26,2,15,2336,113,3.61,1.234,8.2,0.9,2.9,8.9,3.02,417
2,Baltimore Orioles,40,27.1,5.17,65,2467,2240,336,559,112,16,104,327,47,10,176,530,0.25,0.31,0.453,0.763,121,1015,26,29,3,18,7,415,39,3.57,0.724,65,585,436,5277,2356,1759,569,28,38,0.988,12,3,25,1,2,21,29.8,3.57,43,22,0.662,3.15,65,65,65,0,5,0,21,586.1,472,232,205,55,190,2,563,20,2,17,2399,119,3.5,1.129,7.2,0.8,2.9,8.6,2.96,418
3,Boston Red Sox,42,27.3,4.48,66,2524,2262,296,558,113,19,72,285,58,19,205,639,0.247,0.316,0.409,0.725,102,925,37,32,6,17,12,466,41,4.03,0.701,66,594,395,5313,2399,1771,580,48,46,0.98,18,4,18,-1,-3,21,29.5,4.03,33,33,0.5,3.4,66,66,65,1,8,1,13,590.1,511,266,223,61,169,11,574,29,0,20,2443,123,3.55,1.152,7.8,0.9,2.6,8.8,3.4,417
4,Chicago Cubs,41,28.2,4.3,66,2486,2188,284,500,99,12,64,266,46,11,233,581,0.229,0.311,0.372,0.684,94,815,36,39,4,21,10,454,41,4.52,0.691,66,594,435,5244,2315,1748,528,39,38,0.983,-25,-6,-20,-1,-4,24,29.0,4.52,32,34,0.485,3.92,66,66,66,0,4,0,15,582.2,538,298,254,69,214,5,582,25,2,25,2495,106,3.92,1.291,8.3,1.1,3.3,9.0,2.72,458
5,Chicago White Sox,46,28.7,3.09,67,2408,2191,207,477,102,4,56,195,42,10,171,569,0.218,0.28,0.345,0.624,78,755,51,22,11,13,2,418,46,5.3,0.688,67,603,459,5241,2315,1747,530,38,39,0.984,-35,-8,-49,-1,-2,23,28.6,5.3,17,50,0.254,4.99,67,67,67,0,3,0,11,582.1,574,355,323,88,264,7,566,24,5,30,2578,82,4.65,1.439,8.9,1.4,4.1,8.7,2.14,482
6,Cincinnati Reds,36,27.4,4.36,66,2426,2134,288,485,96,11,65,271,96,23,222,595,0.227,0.308,0.374,0.682,94,798,37,37,12,20,2,397,36,4.14,0.702,66,594,441,5253,2284,1751,497,36,40,0.984,-4,-1,-12,-1,1,18,29.2,4.14,32,34,0.485,3.89,66,66,66,0,3,0,15,583.2,527,273,252,67,202,5,551,43,1,17,2477,108,4.01,1.249,8.1,1.0,3.1,8.5,2.73,457
7,Cleveland Guardians,35,26.2,5.08,64,2398,2120,325,508,106,9,72,300,58,24,205,475,0.24,0.318,0.4,0.718,106,848,46,47,6,20,16,382,35,3.67,0.704,64,576,429,5157,2315,1719,559,37,57,0.984,17,4,30,1,-1,19,27.9,3.67,42,22,0.656,3.42,64,64,64,0,7,0,23,573.0,489,235,218,66,185,2,571,27,3,24,2362,113,3.76,1.176,7.7,1.0,2.9,9.0,3.09,418
8,Colorado Rockies,39,28.2,4.0,66,2476,2250,264,551,116,11,53,250,40,12,181,627,0.245,0.306,0.377,0.683,87,848,51,22,8,13,8,445,39,5.62,0.677,66,594,461,5238,2434,1746,656,32,67,0.987,-13,-3,15,4,0,21,28.8,5.62,23,43,0.348,5.32,66,66,66,0,1,0,14,582.0,639,371,344,73,245,7,425,21,0,26,2574,86,4.69,1.519,9.9,1.1,3.8,6.6,1.73,468
9,Detroit Tigers,35,27.3,4.22,65,2425,2184,274,502,100,19,59,262,26,7,190,569,0.23,0.297,0.374,0.671,90,817,39,27,1,19,6,422,35,4.31,0.693,65,585,411,5208,2328,1736,552,40,51,0.983,-9,-2,-1,-5,1,18,28.3,4.31,32,33,0.492,3.84,65,65,65,0,5,0,15,578.2,530,280,247,61,177,2,551,22,3,19,2427,106,3.64,1.222,8.2,0.9,2.8,8.6,3.11,421
