Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,WHIP,WP,cSho,tSho,playoffs
Arizona Diamondbacks,45.0,44.0,27.0,288.0,40.0,1561.0,5633.0,0.252,3.2,540.0,516.0,6230.0,4.0,28.7,1005.0,0.0,14.0,6042.0,136.0,0.692,86.0,691.0,4.25,105.0,4.4,0.986,162.0,120.0,162.0,1458.0,162.0,162.0,162.0,8.6,70.0,62.0,1.4,220.0,220.0,1419.0,1400.0,36.0,38.0,1465.0,13185.0,1119.0,1092.0,0.323,0.757,94.0,6315.0,28.6,4395.0,5.02,4.59,778.0,813.0,743.0,91.0,3.0,9.0,52.0,5.0,88.0,40.0,31.0,0.434,2.77,8.8,1360.0,1427.0,45.0,2447.0,1.308,49.0,0.0,11.0,No
Atlanta Braves,50.0,50.0,32.0,277.0,29.0,1522.0,5560.0,0.258,3.4,619.0,548.0,6243.0,3.0,28.0,1127.0,1.0,28.0,5952.0,154.0,0.685,78.0,675.0,4.19,110.0,4.39,0.987,162.0,104.0,161.0,1458.0,162.0,162.0,162.0,8.8,60.0,69.0,1.3,249.0,203.0,1432.0,1421.0,39.0,33.0,1450.2,13056.0,1138.0,1148.0,0.336,0.789,98.0,6302.0,27.5,4352.0,5.28,4.59,824.0,855.0,743.0,22.0,2.0,-2.0,5.0,0.0,89.0,35.0,25.0,0.452,2.54,8.6,1467.0,1393.0,44.0,2514.0,1.357,70.0,0.0,8.0,Yes
Baltimore Orioles,58.0,57.0,39.0,252.0,25.0,1442.0,5596.0,0.246,3.5,462.0,561.0,6396.0,6.0,26.5,989.0,0.0,30.0,5879.0,155.0,0.688,108.0,897.0,5.59,84.0,5.56,0.982,162.0,111.0,162.0,1458.0,162.0,162.0,162.0,9.6,71.0,80.0,1.9,213.0,305.0,1379.0,1544.0,8.0,11.0,1443.0,12987.0,1063.0,1086.0,0.31,0.725,90.0,6189.0,27.3,4329.0,4.5,6.06,698.0,729.0,981.0,-53.0,-5.0,-9.0,3.0,0.0,84.0,37.0,22.0,0.415,2.22,7.8,1435.0,1248.0,27.0,2320.0,1.459,75.0,0.0,5.0,No
Boston Red Sox,47.0,47.0,28.0,345.0,27.0,1436.0,5770.0,0.269,3.7,590.0,605.0,6400.0,6.0,27.3,1106.0,1.0,30.0,5937.0,115.0,0.673,88.0,768.0,4.7,104.0,4.28,0.985,162.0,127.0,161.0,1458.0,162.0,162.0,162.0,8.7,49.0,76.0,1.3,245.0,215.0,1554.0,1423.0,36.0,22.0,1471.0,13239.0,1170.0,1159.0,0.34,0.806,106.0,6475.0,29.0,4413.0,5.56,5.11,857.0,901.0,828.0,10.0,0.0,-8.0,-15.0,-1.0,68.0,44.0,20.0,0.466,2.7,10.0,1382.0,1633.0,33.0,2688.0,1.379,81.0,1.0,8.0,No
Chicago Cubs,52.0,52.0,33.0,270.0,26.0,1619.0,5461.0,0.252,3.3,581.0,534.0,6190.0,1.0,27.7,969.0,1.0,24.0,6063.0,141.0,0.681,118.0,657.0,4.1,108.0,4.25,0.981,162.0,127.0,161.0,1458.0,162.0,162.0,162.0,8.6,83.0,80.0,1.2,256.0,195.0,1378.0,1376.0,33.0,16.0,1442.0,12978.0,1071.0,1147.0,0.331,0.783,102.0,6195.0,31.1,4326.0,5.02,4.43,783.0,814.0,717.0,32.0,1.0,5.0,12.0,1.0,45.0,39.0,30.0,0.452,2.7,9.0,1460.0,1444.0,38.0,2468.0,1.325,60.0,1.0,10.0,No
Chicago White Sox,47.0,47.0,27.0,260.0,20.0,1525.0,5529.0,0.261,3.7,378.0,582.0,6159.0,5.0,27.6,1132.0,6.0,28.0,5880.0,171.0,0.678,117.0,769.0,4.9,94.0,4.89,0.98,161.0,114.0,155.0,1449.0,161.0,161.0,161.0,9.2,66.0,51.0,1.5,182.0,238.0,1443.0,1438.0,13.0,30.0,1412.2,12714.0,1071.0,1089.0,0.314,0.728,93.0,6042.0,27.6,4238.0,4.4,5.17,676.0,708.0,832.0,-25.0,-2.0,0.0,-21.0,-2.0,63.0,32.0,36.0,0.414,2.25,8.4,1549.0,1312.0,33.0,2289.0,1.43,71.0,2.0,7.0,No
Cincinnati Reds,47.0,47.0,26.0,235.0,27.0,1460.0,5450.0,0.244,3.4,492.0,536.0,6057.0,8.0,27.8,972.0,0.0,38.0,5865.0,124.0,0.699,91.0,668.0,4.18,112.0,4.23,0.984,162.0,111.0,162.0,1458.0,162.0,162.0,162.0,7.9,89.0,58.0,1.3,227.0,214.0,1328.0,1270.0,25.0,31.0,1438.0,12942.0,1073.0,1032.0,0.315,0.736,85.0,6100.0,28.2,4314.0,4.33,4.39,679.0,701.0,711.0,41.0,0.0,9.0,25.0,2.0,80.0,33.0,30.0,0.422,2.9,9.7,1436.0,1552.0,46.0,2298.0,1.256,35.0,0.0,10.0,No
Cleveland Indians,54.0,53.0,30.0,286.0,18.0,1322.0,5425.0,0.25,2.8,563.0,450.0,6008.0,2.0,27.7,1139.0,6.0,35.0,5718.0,110.0,0.695,83.0,601.0,3.76,125.0,4.06,0.985,162.0,110.0,156.0,1458.0,162.0,162.0,162.0,8.2,50.0,62.0,1.3,223.0,207.0,1354.0,1308.0,30.0,19.0,1437.2,12939.0,1072.0,1038.0,0.323,0.756,95.0,6124.0,28.3,4313.0,4.75,4.06,731.0,769.0,657.0,67.0,0.0,10.0,49.0,5.0,103.0,46.0,40.0,0.432,3.35,9.4,1332.0,1508.0,42.0,2345.0,1.223,42.0,5.0,16.0,No
Colorado Rockies,50.0,50.0,31.0,323.0,41.0,1758.0,5660.0,0.265,3.7,489.0,589.0,6423.0,7.0,28.2,1112.0,1.0,31.0,6201.0,165.0,0.677,97.0,895.0,5.56,93.0,5.23,0.984,162.0,111.0,161.0,1458.0,162.0,162.0,162.0,9.8,43.0,57.0,1.7,224.0,270.0,1502.0,1576.0,25.0,33.0,1448.2,13038.0,1075.0,1119.0,0.326,0.782,89.0,6288.0,27.3,4346.0,5.15,5.91,803.0,835.0,958.0,40.0,1.0,10.0,6.0,1.0,71.0,43.0,51.0,0.456,2.15,7.9,1503.0,1264.0,28.0,2579.0,1.494,63.0,1.0,5.0,No
Detroit Tigers,53.0,53.0,32.0,292.0,41.0,1452.0,5549.0,0.24,3.4,391.0,536.0,6341.0,7.0,27.6,1214.0,0.0,20.0,5861.0,127.0,0.666,110.0,835.0,5.24,91.0,4.84,0.981,161.0,108.0,161.0,1449.0,161.0,161.0,161.0,9.8,48.0,69.0,1.6,149.0,250.0,1333.0,1555.0,14.0,24.0,1433.0,12897.0,1069.0,1127.0,0.294,0.682,78.0,6039.0,27.8,4299.0,3.61,5.68,556.0,582.0,915.0,-111.0,-1.0,-8.0,-103.0,-10.0,57.0,42.0,9.0,0.388,2.55,8.6,1595.0,1368.0,31.0,2154.0,1.459,66.0,0.0,3.0,No
