Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,L,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_x,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,W,W-L%,WHIP,WP,cSho,tSho,playoffs
Arizona Diamondbacks,49.0,49.0,30.0,259.0,50.0,1686.0,5460.0,0.235,3.2,560.0,522.0,6139.0,5.0,29.2,1119.0,2.0,25.0,6150.0,152.0,0.698,75.0,605.0,3.72,113.0,3.91,0.988,162.0,110.0,160.0,1458.0,162.0,162.0,162.0,8.1,52.0,57.0,1.1,176.0,174.0,1283.0,1313.0,36.0,43.0,1463.0,13167.0,80.0,1086.0,1106.0,0.31,0.707,86.0,6157.0,29.6,4389.0,4.28,3.98,3.98,658.0,693.0,644.0,125.0,7.0,14.0,28.0,3.0,79.0,45.0,38.0,0.397,2.77,8.9,1460.0,1448.0,39.0,2170.0,82.0,0.506,1.254,69.0,1.0,9.0,No
Atlanta Braves,58.0,57.0,35.0,314.0,29.0,1439.0,5582.0,0.257,3.9,511.0,635.0,6155.0,8.0,27.3,1166.0,2.0,36.0,5889.0,134.0,0.709,80.0,607.0,3.75,110.0,3.98,0.986,162.0,99.0,160.0,1458.0,162.0,162.0,162.0,7.6,66.0,52.0,0.9,175.0,153.0,1433.0,1236.0,53.0,43.0,1456.2,13110.0,72.0,1143.0,1128.0,0.324,0.742,98.0,6251.0,27.7,4370.0,4.69,4.06,4.06,717.0,759.0,657.0,55.0,2.0,-1.0,42.0,4.0,90.0,43.0,49.0,0.417,2.24,8.8,1290.0,1423.0,40.0,2330.0,90.0,0.556,1.284,61.0,1.0,11.0,Yes
Baltimore Orioles,56.0,56.0,30.0,242.0,15.0,1537.0,5507.0,0.239,3.7,422.0,589.0,6340.0,8.0,28.4,1112.0,2.0,22.0,5934.0,159.0,0.674,104.0,824.0,5.18,83.0,4.98,0.982,162.0,132.0,160.0,1458.0,162.0,162.0,162.0,9.8,57.0,67.0,1.5,188.0,234.0,1317.0,1552.0,19.0,29.0,1431.0,12879.0,115.0,1027.0,1155.0,0.298,0.689,89.0,6034.0,27.1,4293.0,3.84,5.51,5.51,593.0,622.0,892.0,-42.0,-2.0,-6.0,-47.0,-4.0,81.0,35.0,13.0,0.391,2.04,7.6,1412.0,1203.0,28.0,2153.0,47.0,0.29,1.496,81.0,0.0,7.0,No
Boston Red Sox,44.0,43.0,23.0,355.0,31.0,1366.0,5623.0,0.268,3.2,569.0,512.0,6166.0,3.0,27.7,1127.0,2.0,31.0,5819.0,106.0,0.693,77.0,608.0,3.75,118.0,3.82,0.987,162.0,130.0,160.0,1458.0,162.0,162.0,162.0,8.1,55.0,84.0,1.1,208.0,176.0,1509.0,1305.0,38.0,8.0,1458.2,13128.0,54.0,1124.0,1143.0,0.339,0.792,112.0,6302.0,28.9,4376.0,5.41,3.99,3.99,829.0,876.0,647.0,15.0,0.0,-7.0,29.0,3.0,125.0,48.0,7.0,0.453,3.04,9.6,1253.0,1558.0,46.0,2550.0,108.0,0.667,1.246,51.0,0.0,14.0,Yes
Chicago Cubs,50.0,50.0,35.0,286.0,34.0,1675.0,5624.0,0.258,3.8,576.0,622.0,6264.0,3.0,27.2,933.0,1.0,38.0,6208.0,155.0,0.7,104.0,598.0,3.65,115.0,4.13,0.983,163.0,107.0,162.0,1467.0,163.0,163.0,163.0,8.0,78.0,66.0,1.0,167.0,157.0,1453.0,1319.0,67.0,33.0,1476.1,13287.0,68.0,1224.0,1190.0,0.333,0.744,97.0,6369.0,30.2,4429.0,4.67,3.96,3.96,722.0,761.0,645.0,84.0,5.0,7.0,76.0,7.0,66.0,46.0,40.0,0.41,2.14,8.1,1388.0,1333.0,46.0,2308.0,95.0,0.583,1.315,46.0,0.0,18.0,Yes
Chicago White Sox,51.0,51.0,31.0,259.0,40.0,1431.0,5523.0,0.241,4.1,425.0,653.0,6339.0,9.0,26.5,1156.0,0.0,41.0,5856.0,135.0,0.69,114.0,771.0,4.83,88.0,4.73,0.981,162.0,99.0,162.0,1458.0,162.0,162.0,162.0,8.8,66.0,89.0,1.2,182.0,196.0,1332.0,1404.0,18.0,25.0,1437.0,12933.0,100.0,1050.0,1180.0,0.302,0.703,93.0,6071.0,27.6,4311.0,4.05,5.23,5.23,639.0,656.0,848.0,-41.0,-4.0,-6.0,-49.0,-5.0,98.0,32.0,24.0,0.401,1.93,7.9,1594.0,1259.0,34.0,2217.0,62.0,0.383,1.431,94.0,0.0,8.0,No
Cincinnati Reds,53.0,53.0,32.0,251.0,25.0,1608.0,5532.0,0.254,3.3,559.0,532.0,6279.0,8.0,27.2,1084.0,1.0,33.0,6026.0,144.0,0.685,95.0,741.0,4.63,90.0,4.66,0.984,162.0,128.0,161.0,1458.0,162.0,162.0,162.0,9.3,65.0,50.0,1.4,172.0,228.0,1404.0,1491.0,35.0,60.0,1441.0,12969.0,95.0,1179.0,1137.0,0.328,0.729,95.0,6240.0,27.1,4323.0,4.3,5.06,5.06,665.0,696.0,819.0,-16.0,0.0,1.0,-29.0,-3.0,77.0,35.0,49.0,0.401,2.36,7.9,1376.0,1258.0,38.0,2221.0,67.0,0.414,1.404,48.0,0.0,6.0,No
Cleveland Indians,49.0,48.0,27.0,297.0,19.0,1353.0,5595.0,0.259,2.5,554.0,407.0,6071.0,2.0,29.4,1064.0,5.0,36.0,5808.0,123.0,0.688,83.0,611.0,3.77,115.0,3.78,0.986,162.0,98.0,157.0,1458.0,162.0,162.0,162.0,8.3,80.0,59.0,1.2,216.0,200.0,1447.0,1349.0,32.0,29.0,1457.1,13116.0,71.0,1147.0,1051.0,0.332,0.766,106.0,6300.0,29.4,4372.0,5.05,4.0,4.0,786.0,818.0,648.0,2.0,0.0,1.0,-13.0,-1.0,135.0,44.0,25.0,0.434,3.79,9.5,1189.0,1544.0,41.0,2430.0,91.0,0.562,1.205,54.0,2.0,17.0,Yes
Colorado Rockies,41.0,41.0,21.0,280.0,42.0,1624.0,5541.0,0.256,3.3,507.0,525.0,6154.0,8.0,28.7,1140.0,0.0,33.0,6055.0,162.0,0.688,74.0,699.0,4.33,109.0,4.06,0.988,163.0,114.0,163.0,1467.0,163.0,163.0,163.0,8.5,51.0,52.0,1.1,210.0,184.0,1418.0,1377.0,38.0,24.0,1452.1,13071.0,72.0,1067.0,1052.0,0.322,0.757,90.0,6178.0,27.9,4357.0,4.79,4.57,4.57,748.0,780.0,745.0,39.0,1.0,3.0,36.0,3.0,95.0,37.0,42.0,0.435,2.68,8.7,1397.0,1409.0,51.0,2412.0,91.0,0.558,1.31,70.0,0.0,10.0,Yes
Detroit Tigers,49.0,49.0,27.0,284.0,35.0,1428.0,5494.0,0.241,3.1,428.0,491.0,6130.0,4.0,27.9,1205.0,0.0,30.0,5799.0,126.0,0.694,95.0,726.0,4.58,98.0,4.58,0.984,162.0,110.0,162.0,1458.0,162.0,162.0,162.0,9.0,52.0,60.0,1.4,135.0,216.0,1326.0,1423.0,18.0,20.0,1425.1,12828.0,98.0,1071.0,1058.0,0.3,0.68,83.0,6029.0,28.6,4276.0,3.89,4.91,4.91,597.0,630.0,796.0,-21.0,-5.0,-14.0,1.0,0.0,70.0,40.0,15.0,0.38,2.47,7.7,1341.0,1215.0,37.0,2085.0,64.0,0.395,1.343,54.0,0.0,2.0,No
